Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),State,City,Latitude,Longitude,Avg_Temp,Annual_Rainfall,Avg_Humidity,Avg_WindSpeed,Drought_Risk,Flood_Risk,Soil_Index
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,Loamy,Kharif,76648.2,Maharashtra,Nagpur,21.15,79.08,26.8,1150,65,13,Moderate,Moderate,80
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54,Karnataka,Ooty,11.41,76.69,23.6,1250,70,14,Low,Moderate,84
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,Silty,Kharif,75538.56,Maharashtra,Kolhapur,16.7,74.24,26.8,1150,65,13,Moderate,Moderate,80
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,Silty,Zaid,45401.23,Andhra Pradesh,Chittoor,13.21,79.1,28.5,900,72,16,Moderate,Moderate,77
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,Clay,Zaid,93718.69,Andhra Pradesh,Chittoor,13.21,79.1,28.5,900,72,16,Moderate,Moderate,77
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,Loamy,Zaid,46487.98,Maharashtra,Kolhapur,16.7,74.24,26.8,1150,65,13,Moderate,Moderate,80
F007,Soybean,360.06,Drip,1.83,2.37,44.93,Sandy,Rabi,40583.57,Madhya Pradesh,Indore,22.71,75.85,25.8,1050,62,10,Moderate,Low,79
F008,Rice,464.6,Drip,5.18,0.91,4.23,Silty,Kharif,9392.38,Andhra Pradesh,Nellore,14.44,79.98,28.5,900,72,16,Moderate,Moderate,77
F009,Maize,389.37,Drip,0.57,4.93,3.86,Peaty,Rabi,60202.14,Bihar,Khagaria,25.5,86.48,26.1,1200,75,11,Low,High,83
F010,Soybean,184.37,Drip,2.18,2.67,17.25,Sandy,Kharif,90922.15,Maharashtra,Latur,18.4,76.58,26.8,1150,65,13,Moderate,Moderate,80
F011,Rice,279.95,Drip,8.02,1.24,32.85,Clay,Zaid,5869.75,Punjab,Ludhiana,30.9,75.85,22.4,650,55,12,Low,Low,88
F012,Sugarcane,145.32,Flood,3.01,2.27,8.08,Clay,Kharif,88976.51,Uttar Pradesh,Meerut,28.98,77.7,25.2,950,68,9,Low,Moderate,85
F013,Wheat,329.1,Drip,5.26,0.83,5.44,Clay,Zaid,45922.35,Haryana,Karnal,29.68,76.99,24.1,550,52,11,Moderate,Low,82
F014,Rice,246.02,Flood,1.01,3.45,11.38,Sandy,Rabi,71953.14,Punjab,Ludhiana,30.9,75.85,22.4,650,55,12,Low,Low,88
